WORDLISTS,,MUNGBAM,,,,,
,"SPEAKER A-",SPEAKER,"SPEAKER C- ","Speaker D","A reference wordlist in Missong","A confirmation wordlist in Missong"
,"Buu Female","B-Buu Male"," Buu, Male","Mufu-Mundabli, female",Male,Male
,"FILE NAME","FILE NAME","FILE NAME","FILE NAME","FILE NAME","FILE NAME"
,QAT25,QAD23,QAT102,QAT155,QAT167,QAT181
Head,ùfìmə́,ìfì,ifìmə́,ifì,ifì,ìfì
Heads,áfímə́,áfí,áfímə́,àfì,àfì,àfì
Eye,dzə́sə́mə́,dzə́sə́,ídzə́sə́mə́,ídzə́sə́,ídzə́sə́,ídzə́sə́
eyes,àdzə́sə́mə́,àdzə́sə́,àdzə́sə́mə́,àdzə́sə́,àdzə́sə́,ázə́sə́
Ear,kìntsúŋmə́,kìntsúŋ,kíndúŋmə́,kìntsúŋ,kìntsúŋ,kǐntsúŋ
ears,bìntsúŋmə́,bìntsúŋ,bìntsúŋmə́,bìntsúŋ,bìntsúŋ,bǐnstúŋ
"Mouth ",ùfànə́,àfánwú,ùfànmə́,ùfàn,ùfàn,ùfàn
mouths,áfàn,àfànwú,àfànmə́,àfàn,àfàn,àfàn
Nose,nyûmə́,àwúŋ,ínyúmə́,ínyú,ínyú,inyú
noses,ányúmə́,ányúŋ,ányúmə́,ányú,ányú,ányú
Hand,ìtswàmə̌,ìtshà,ìtswàmə̌,úkə́n,úkə́n,úkə̌n
hands,"no response",átshà,àtswàmə́,ákə́n,ákə́n,ákə̌n
Body,úgbwɔ̀mə́,ùgbɔ̀wú,gbwɔ̀mə́,ùbwà,ùbwànʉ̀,úgbwă
bodies,íbwámə́,íbwánʉ̀,ìgbwɔmə́,ábwásə́,íbwánʉ̀,ágbwă
Leg,ùkɔ̀mə́,ùkɔ̀’ɔ̀,ùkɔ̀’ɔ̀mə́,íyáŋ,ùkɔ̀’ɔ̀,ùkɔ̀’ɔ̀
legs,àkɔ̀’ɔ̀mə́,àkɔ̀’ɔ̀,àkɔ̀’ɔ̀mə́,úkɔ̀’ɔ̀sə́,àkɔ̀’ɔ̀,àkɔ̀’ɔ́
Neck,úmámə́,kímá,úmámə́,ùkǔŋ,úmá,úmá
necks,ímámə́,ímá,ímámə́,íkúŋsə́,ímá,ámá
Shoulder,kìgbìŋmə́,tshwàwù,kìgbìŋmə́,kìgbìŋ,kìgbìŋ,kìgbìŋ
shoulders,bìgbìŋmə́,"no response",bìgbìŋmə́,bìgbìŋsə̂,bìgbìŋ,bìgbìŋ
Stomach,ùběmə́,ábě,ábémə́,ábě,ábě,ábɛ̂
stomachs,abě,abě,abě,aběsə́,abě,ábɛ̂
Finger,íkə́n’ə̀mə́,kə̀nwû,úkə́nmə́,úkə̀n,úkə́n,úkə̌n
fingers,ákə̀nmə́,ákə̀n,ákə̀nmə́,ákə̀n,ákə́n,ákə̌n
Jaw,kə̀bwàŋmə́,"No response",kìmbàŋmə́,kìngyaŋ,kìyá’á,kìyá’á
