,,KUNG,,,,,
,,,,,,,
WORDLIST,"Speaker A from Ajumbu-Male","Speaker B from Ajumbu-Female","Speaker C from Ajumbu-Male","Speaker D from Koshin-Female","Speaker E from Naki-Female","Speaker F from Ajumbu, Female","Reference Wordlist in Kung  Male"
,"FILE NAME","FILE NAME","FILE NAME","FILE NAME","FILE NAME","FILE NAME","FILE NAME"
,QAT125,QAT126,QAT138,QAT170,QAT143,QAT120,QAT130
Head,kə́tú,kə́tú,kə́tú,kə́twú,túghə́,kə́tú,kə́tú
"Heads ",útù,"útwú ","útú ","útwú  ","túwə̂ ",útú,útú
," ",,,,," ",
Eye,ìsî,ə̀sî,ísî,ísî,sî,ísí,ísî
eyes,"ásî ","ítsî ","sǐghə́ ","áshí ","sísə́ ",ə́sí,ásî
,,,,,," ",
Ear,"no response",kə́túŋə́,kə́túŋé,kə́tùŋnə́,tùŋə̀,kə̀tǔŋə́,kə́túŋə́
ears,útùŋə́,útûŋə̀,túŋə́kə́,útûŋə́,"túŋə̀wə̂ ",útǔŋə́,útúŋə́
,,,,,," ",
,,,,,,,
"Mouth ",ítsə̂,ítsɨ̂,àtsí,ə́tsɨ̂,tsɨ́,ítsə́,ítsɨ̂
mouths,"no response",ítsɨ̂,tsɨ̂ghə̂,útsʉ̂,tswʉ̂,ə́tsə́,átsɨ̂
,,,,,," ",
Nose,mbó’wǐ,kə́wî,mbùwî,mbù’ùwî,"No response",íwí,íwí
noses,"no response",ùwɨ̂,mbwûwí,mbù’ùwî,,ə́wí,ə́wí
,,,,,,,
,,,,,,,
" Hand","kə́pwə̂ mɔ́ wɔ̌",kə́wú́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́́̂,kpwékə́,kə́wú,"No response",kə́wú,kə́pwê
hands,,úkpwɛ̀,úpwé,kə́wú,,ə́wú,ə́pwê
,,,,,,,
,,,,,,,
Body,ɔ̀wǐ,wîwə́,ə́wî,íwî,úwɔ̌,úwê,úwê
bodies,"no response",ùwû,ùwî,"No response",wɔ́iwə́,áwê,wéŋghʉ̌m
,,,,,,,
,,,,,,,
Leg,kə́wʉ̌,wʉ́kəikə̂,fwékə́,kə́fwé,fwê,kə́ẃə́l,kéfwê
legs,"no response",ùwúl,ùfwê,úfwé,fwênə́,sə́fwê,ə́fwê
,,,,,,,
Neck,úmê,úmíwə̀,m̀mê,úmě,mbè,ùmê,úmê
necks,m̀mê,ùmê,úmê,úmê,mbésə̀,sə́mê,m̀mê
,,,,,,,
Shoulder,ùba’a,kə́kíkɛ́kə̂,kə́kíkə̂,kékíkî,"No response","mbè́ ̀è",mbé’è
shoulders,"no response","no response",ùkíkî,úkík̂,,"sə̀mbè ̀è",sə̀mbé’è
,,,,,,,
Stomach,únə̂,únɛ̌wɔ̀,únə̌,únɛ̂,únɛ̌,únə̂,únə̌
stomachs,mně,ùnɛ̀,únə̌,únɛ̂,ǹnə̂m,"No response","mně "
,,,,,,,
Finger,waiwɔ̀,waifɨ́wúfə́,wáfə́wùfə́,waifɨ́wófə́,"No respons",waifɨwúfə́,wàwúké
fingers,"no response",wáwû,wainə́mə́wʉ̀m,wétə́mə́wʉ̂m,,kainə́mə̀mwʉ̌m,wáwû
,,,,,,,
Jaw,kə́bɔ̀ŋ,bɔ̀ŋkə́ikə̀,mbɔ́ŋɔ̀,kə́bɔ̀ŋ,bɔ̂ŋ,kə́bɔ̂ŋ,kə́bɔ̀ŋ
jaws,ùbɔ̀ŋ,úbɔ̀ŋ,úbɔ̀ŋ,úbɔ̀ŋ,bɔ̂ŋsə̀,úbɔ̌ŋ,sə́bɔ̀ŋ
,,,,,,,
Knee,fɨ̀ŋí,nyíjzɛ̂,nyiʉ̌,ə́kə́ŋnə̌,ŋgùg,índzəs,ínyí
knees,"no response",ùnyi,únyî,sə́kə́ŋlə́,ŋgʉ̀ŋə̌,"No response",ə̀nyí
,,,,,,,
tooth,ɔ̀sɔ̀ŋ,sɔ̀ŋghɛ̌,sɔ́ŋ,ísɔ̀ŋ,sɔ̀ŋɔ̀,isɔ̂n,ísɔ́ŋ
Teeth,ə̀sɔ́ŋ,usɔ̌ŋ,úsɔ́ŋ,úsɔ̀ŋ,sɔ̀ŋɔ̌,ə̀sɔŋ,ə̀sɔ́ŋ
,,,,,,,
buttocks,ísás,sászɛ̂,sásí,ísás,sás,ísás,ísás
buttocks,ásás,úsás,ùsásí,sásə́,sásə́,ə́sás,àsás
,,,,,,,
Breast,ághé,ghɛ́zɛ̂,úghê,íghə́,ghé,íghai,íghɛ̂
breats,"no response",úghè,ghě,ághí,ghésə́,ə́ghai,ə́ghɛ̂
,,,,,,,
one,mɔ̀,mɔ̀,mɔ̀,mwɔ̀,mʉ̀,mɔ̀,mɔ̀
,,,,,,,
two,bə̀,bə̀,bə̀,bègə̀’ə̀,bə̀gə̀’ə̀,"begə ̀ə̀",bə̀gə̀’ə̀
,,,,,,,
three,tɨ́,tɨ̌,tɨ,tɨ̂,tɨ́,tə̀,tə́
,,,,,,,
"Four ",kwə̀kə̀,kwə̀kɔ̀,kiə̀kə́,kiə̀kə̀,tə́ghə́,tsə̀kə̀,kʲə̀
,,,,,,,
"Five ",tài,tài,tài,tài,ítái,tài,tài
,,,,,,,
"Six ",tùfɨ́,tùfə́,tùfə́,túfə́,tùfú,tǔfə́,tǔfə́
,,,,,,,
,,,,,,,
"Seven ",sɨ̀mə́,sɛmbê,sə̌mbê,sɛ̌mɛ̂,ìsêmbê,sə̀ghə̀mbɛ́,sɛ̌mbɛ̂
,,,,,,,
Eight,fámə̀,fàmə́,fámə̂,fámə́,fámə́,fǎmə́,fɛ́mə́
,,,,,,,
,,,,,,,
"Nine ",bə́límɔ̀,bwúlúmɔ̀,bwʉ́lə́mɔ̀,búlûmɔ̀,bwɔ́lɔ́mò,bwólómɔ̀,bwɔ́lɔ́mɔ́
,,,,,,,
"Ten ",íghèm,íghə̌m,ghə̀m,íghə̂m,́íghə́m,íghə̂m,íghə̀m
,,,,,,,
Twenty,ʉ̀mbə̀,íghə̀mbə̀,ghə̀mbə̌,ghə̀mbɛ̀,ghèmb’ə̀,"ghə̀mbə̀gə̀ ̀ə̀",ghə̀mbà
,,,,,,,
"Thirty ",-ʉ̀mtə̂,ghə̀mtə̂,ghə̀mtɨ̂,ghə̀mtɨ̂,ghémtə́g’ə́,ghə̀mtɨ́ghə́,ghə̀mtɨ́
,,,,,,,
"Fourty ",ghə̀mkwìə̀kə̀,ghə̀mghiɔ̀kɔ̀,ghèmkʲekɔ̀,ghə́mkʲə̀,ghémtsə́kə̀,ghə̀mtsə̀kə̀,ghèmkiə̀kə̀
,,,,,,,
"Fifty ",ʉ̀mtaǐ,ghə̀mtai,ghə̀mtai,ghə̀mtái,ghə́mtái,ghə̀mtai,ghemtái
,,,,,,,
"Sixty ",ghə̀mtùfə́,ghə̀mtûfə́,ghə̀mtùfə̂,ghə̀mtúfə́,ghə́mtúfú,ghə̀mtǔfə́,ghémtúfə́
,,,,,,,
"Seventy ",ghə̀msɛ̀mbɛ̀,ghə̀msɛ̀mbê,ghə̀msêmbê,ghèmsɛ̌mê,ghə̂msêmbê,ghə̀msɛ̌mbɛ̂,ghə̀msěmbê
,,,,,,,
"Eighty ",ghə̀mfámə̀,ghə̀mfɛ́mə̌,ghə̀mfâmə̀,ghə̀mfâmə́,ghə́mfâmé,ghə̀mfâmə́,ghèmfɛ̌mə̀
,,,,,,,
"Ninety ",ghə̀mviəlímɔ̀,ghə̀mbwɨ́lɨ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀,ghə̌mbwɔ́lómɔ̀,ghə̀mbwɔ̀lɔ́mɔ̀,ghə̀mbwɔ́lɔ́mɔ̀
,,,,,,,
"One hundred",ùghɔ̀,úwûkə́,"No response",úwû,sɔ̀,úwʉ̌,wʉ̌
,,,,,,,
"One thousand",kám,kám,kàm,kàm,kám,kàm,kàm
,,,,,,,
"Hill ",ʉbwà,mbwà,kɔ́,úkwɔ́’ɔ́,mbwá,"útɔ́ ̀ɔ́",mbwá
"Hills ",mbwá,mbwá,úkɔ́,sə́kɔ́’ɔ́,mbwásə́,"sə́kɔ́ ̀ɔ́",sɨ́mbwá
,,,,,,,
